k, l, time, score, round, eps
7,2,0.0340763749998132,539,4,0.3
7,3,0.7516138749999755,502,4,0.3
9,2,0.057359207999979844,1129,4,0.3
9,3,1.2859352079999553,1141,4,0.3
11,2,0.09707333300002574,1819,4,0.3
11,3,2.185654999999997,1812,4,0.3
13,2,0.1375601249999363,2593,4,0.3
13,3,3.14473887500003,2609,4,0.3
4,4,2.6248163339998882,153,4,0.3
7,4,11.707242625000163,502,4,0.3
10,4,28.167216915999916,1402,4,0.3
13,4,49.54003787500005,2674,4,0.3
3,2,0.0030658330001642753,78,4,0.6
3,3,0.050816457999872,78,4,0.6
5,2,0.011738709000155723,383,4,0.6
5,3,0.24280525000017406,316,4,0.6
7,2,0.026835791000166864,539,4,0.6
7,3,0.5910382500001106,502,4,0.6
9,2,0.045238083999947776,1129,4,0.6
9,3,1.0023642090000067,1075,4,0.6
11,2,0.07825791699997353,1819,4,0.6
11,3,1.7474278749998575,1819,4,0.6
13,2,0.11162570800001959,2593,4,0.6
13,3,2.520983249999972,2663,4,0.6
4,4,1.9807478750001337,153,4,0.6
7,4,9.534653582999908,502,4,0.6
10,4,22.965928500000018,1435,4,0.6
13,4,39.33899387500014,2579,4,0.6
3,2,0.0022229999999581196,78,4,0.9
3,3,0.04010533299992858,78,4,0.9
5,2,0.007877500000176951,383,4,0.9
5,3,0.17137912499993035,316,4,0.9
7,2,0.01973574999988159,539,4,0.9
7,3,0.4312203340000451,502,4,0.9
9,2,0.0394008330001725,1129,4,0.9
9,3,0.8690245000000232,1075,4,0.9
11,2,0.0691877909998766,1819,4,0.9
11,3,1.5381906249999702,1809,4,0.9
13,2,0.09695366599999033,2593,4,0.9
13,3,2.1618502910000643,2733,4,0.9
4,4,1.5414431250001144,153,4,0.9
7,4,6.520667832999834,502,4,0.9
10,4,16.638257084000088,1381,4,0.9
13,4,33.39289633300018,2618,4,0.9
3,2,0.005582124999818916,108,5,0.1
3,3,0.11281912499998725,108,5,0.1
5,2,0.020800374999907945,268,5,0.1
5,3,0.4498782499999834,268,5,0.1
7,2,0.04648254200037627,665,5,0.1
7,3,1.0143130829997062,667,5,0.1
9,2,0.07784975000004124,1160,5,0.1
9,3,1.799252250000336,1170,5,0.1
11,2,0.13431041599960736,1736,5,0.1
11,3,2.972231499999907,1790,5,0.1
13,2,0.20219129199995223,2361,5,0.1
13,3,6.874421083000016,2361,5,0.1
4,4,5.995486875000097,182,5,0.1
7,4,19.4205978330001,667,5,0.1
10,4,36.165133917000276,1499,5,0.1
13,4,66.59431200000017,2338,5,0.1
3,2,0.003978332999849954,108,5,0.3
3,3,0.07430254199971387,108,5,0.3
5,2,0.015116499999749067,268,5,0.3
5,3,0.32172970800002076,268,5,0.3
7,2,0.03468383300014466,665,5,0.3
7,3,0.7488256660003572,667,5,0.3
9,2,0.05730729100014287,1160,5,0.3
9,3,1.2818420419998802,1170,5,0.3
11,2,0.0976817089999713,1736,5,0.3
11,3,2.174368792000223,1720,5,0.3
13,2,0.1370342499999424,2361,5,0.3
13,3,3.0665159160002986,2453,5,0.3
4,4,2.629364416000044,182,5,0.3
7,4,11.604470958000093,671,5,0.3
10,4,27.45032758399975,1543,5,0.3
13,4,49.38207595799986,2325,5,0.3
3,2,0.0031070420000105514,108,5,0.6
3,3,0.05067795900004057,108,5,0.6
5,2,0.011595916999795008,268,5,0.6
5,3,0.2430324169999949,268,5,0.6
7,2,0.027494083999954455,665,5,0.6
7,3,0.5971915000000081,665,5,0.6
9,2,0.04577720900033455,1160,5,0.6
9,3,1.0057000409997272,1170,5,0.6
11,2,0.0790133750001587,1736,5,0.6
11,3,1.7636714580003172,1748,5,0.6
13,2,0.11101958400013245,2361,5,0.6
13,3,2.489554333000342,2413,5,0.6
4,4,1.9804448340000818,182,5,0.6
7,4,9.4225930409998,667,5,0.6
10,4,22.94705041599991,1523,5,0.6
13,4,39.85550216599995,2383,5,0.6
3,2,0.0023908329999358102,108,5,0.9
3,3,0.0402599580002061,108,5,0.9
5,2,0.007578624999950989,268,5,0.9
5,3,0.17066974999988815,268,5,0.9
7,2,0.026179667000178597,665,5,0.9
